time,id,runoff_mean,flag,area,country,geo_x,geo_y,geo_z,owneroforiginaldata,river_name,station_name,timezone
1/1/1976,4382100,37,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
1/1/1976,4382200,13,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
1/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
1/1/1976,4382700,67,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
2/1/1976,4382100,27,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
2/1/1976,4382200,11,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
2/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
2/1/1976,4382700,63,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
3/1/1976,4382100,23,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
3/1/1976,4382200,9,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
3/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
3/1/1976,4382700,145,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
4/1/1976,4382100,37,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
4/1/1976,4382200,9,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
4/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
4/1/1976,4382700,69,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
5/1/1976,4382100,32,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
5/1/1976,4382200,10,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
5/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
5/1/1976,4382700,62,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
6/1/1976,4382100,19,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
6/1/1976,4382200,11,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
6/1/1976,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
6/1/1976,4382700,46,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
7/1/1976,4382100,9,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
7/1/1976,4382200,10,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
7/1/1976,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
7/1/1976,4382700,45,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
8/1/1976,4382100,10,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
8/1/1976,4382200,12,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
8/1/1976,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
8/1/1976,4382700,30,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
9/1/1976,4382100,25,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
9/1/1976,4382200,18,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
9/1/1976,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
9/1/1976,4382700,48,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
10/1/1976,4382100,77,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
10/1/1976,4382200,27,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
10/1/1976,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
10/1/1976,4382700,124,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
11/1/1976,4382100,42,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
11/1/1976,4382200,13,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
11/1/1976,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
11/1/1976,4382700,57,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
12/1/1976,4382100,13,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
12/1/1976,4382200,10,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
12/1/1976,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
12/1/1976,4382700,61,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
1/1/1977,4382100,10,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
1/1/1977,4382200,5,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
1/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
1/1/1977,4382700,27,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
2/1/1977,4382100,11,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
2/1/1977,4382200,5,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
2/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
2/1/1977,4382700,18,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
3/1/1977,4382100,0,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
3/1/1977,4382200,4,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
3/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
3/1/1977,4382700,7,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
4/1/1977,4382100,27,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
4/1/1977,4382200,5,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
4/1/1977,4382300,0,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
4/1/1977,4382700,70,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
5/1/1977,4382100,75,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
5/1/1977,4382200,10,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
5/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
5/1/1977,4382700,105,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
6/1/1977,4382100,16,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
6/1/1977,4382200,6,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
6/1/1977,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
6/1/1977,4382700,39,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
7/1/1977,4382100,2,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
7/1/1977,4382200,5,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
7/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
7/1/1977,4382700,26,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
8/1/1977,4382100,4,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
8/1/1977,4382200,7,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
8/1/1977,4382300,1,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
8/1/1977,4382700,69,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
9/1/1977,4382100,21,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
9/1/1977,4382200,18,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
9/1/1977,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
9/1/1977,4382700,83,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
10/1/1977,4382100,51,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
10/1/1977,4382200,21,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
10/1/1977,4382300,8,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
10/1/1977,4382700,39,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
11/1/1977,4382100,105,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
11/1/1977,4382200,27,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
11/1/1977,4382300,7,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
11/1/1977,4382700,179,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
12/1/1977,4382100,30,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
12/1/1977,4382200,15,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
12/1/1977,4382300,4,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
12/1/1977,4382700,108,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
1/1/1978,4382100,59,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
1/1/1978,4382200,11,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
1/1/1978,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
1/1/1978,4382700,145,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
2/1/1978,4382100,30,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
2/1/1978,4382200,6,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
2/1/1978,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
2/1/1978,4382700,40,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
3/1/1978,4382100,31,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
3/1/1978,4382200,5,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
3/1/1978,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
3/1/1978,4382700,45,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
4/1/1978,4382100,132,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
4/1/1978,4382200,17,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
4/1/1978,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
4/1/1978,4382700,139,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
5/1/1978,4382100,143,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
5/1/1978,4382200,22,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
5/1/1978,4382300,4,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
5/1/1978,4382700,106,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
6/1/1978,4382100,108,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
6/1/1978,4382200,27,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
6/1/1978,4382300,7,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
6/1/1978,4382700,57,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
7/1/1978,4382100,72,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
7/1/1978,4382200,30,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
7/1/1978,4382300,4,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
7/1/1978,4382700,68,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
8/1/1978,4382100,39,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
8/1/1978,4382200,25,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
8/1/1978,4382300,7,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
8/1/1978,4382700,75,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
9/1/1978,4382100,55,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
9/1/1978,4382200,33,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
9/1/1978,4382300,4,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
9/1/1978,4382700,38,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
10/1/1978,4382100,106,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
10/1/1978,4382200,42,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
10/1/1978,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
10/1/1978,4382700,40,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
11/1/1978,4382100,55,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
11/1/1978,4382200,21,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
11/1/1978,4382300,3,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
11/1/1978,4382700,44,,5115,DO,-69.82,19.15,8,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YUNA,ELLIMON,4
12/1/1978,4382100,15,,6718,DO,-71.55,19.77,11,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL NORTE,PALO VERDE,4
12/1/1978,4382200,11,,1709,DO,-71.07,18.68,300,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO YAQUE DEL SUR,EL PUENTE,4
12/1/1978,4382300,2,,116,DO,-71.2,18.02,422,Initial dataset collected in the framework of the First GARP Global Experiment (FGGE),RIO NIZAITO,VILLA NIZAO,4
